ID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
GSM437140	0.0313780200053851	0.0077291311212076	0.126700763860799	0.0836303956482764	0.0903898524662195	0.00581597724309535	2.94569637877156e-10	0.654355859360448
GSM437141	0.029610369421495	0.00812661496325678	0.129834288692741	0.0873394143734317	0.0897898488514794	0.0066694284406118	4.97703019675978e-10	0.648630034759281
GSM437142	0.0296610034395056	0.00816164043459416	0.131673537901114	0.0822512691649839	0.0904076696871655	0.00652274032076937	4.67993666230734e-10	0.651322138583874
GSM437143	0.0303796710802592	0.00811284362002605	0.134459132673651	0.0895009483011522	0.0898093086881625	0.00680652698581062	7.43675494905792e-10	0.640931567907263
GSM437144	0.0314701904067923	0.00914491484189396	0.129245097665235	0.0816868036653903	0.0935464374433488	0.00660049488212684	9.67590562194253e-11	0.648306060998453
GSM437145	0.0334158006524613	0.00884356943039988	0.138014846884413	0.0862284480183434	0.0934090338462271	0.00700379656021482	3.49167218262346e-11	0.633084504573024
GSM437146	0.0331753765152918	0.00771907513580187	0.136129668776552	0.0821138678651378	0.0917070769368758	0.00639488487111539	7.88840349057256e-10	0.642760049110385
GSM437147	0.0309566800647316	0.00799026106413822	0.13918101432898	0.0844747927466278	0.0895600236217023	0.00669236612520191	5.18432659638824e-11	0.641144861996775
GSM437148	0.0305154129440054	0.0078798953884166	0.136724768932786	0.0852454514239697	0.0872558231641225	0.00666551311457478	2.5485469868842e-10	0.64571313477727
GSM437149	0.0310585999859087	0.00873805974340085	0.134213764346106	0.0840487044464161	0.0935113284283056	0.00677990183752685	4.96842020165984e-10	0.641649640715494
GSM437150	0.0313565041205195	0.00833987073781525	0.126593508219807	0.084529131768244	0.0929056172606767	0.00677355453504414	1.32701257696962e-09	0.649501812030881
GSM437151	0.0317044213602563	0.00842086717076513	0.131494464196062	0.0805555713999727	0.0900549719836379	0.00655268289762256	2.57633396903583e-10	0.65121702073405
GSM437152	0.0304868141870134	0.00873333269177778	0.132496125692293	0.0865189841240085	0.0922559008388164	0.00702789566510378	2.46907214037338e-10	0.64248094655408
